url,status,language,title,description,canonical,h1,words_including_navigation,jsonld_count,service_case_links,case_service_links
https://osnovaai.com/ru/,200,ru,"OSNOVA — AI, автоматизация и digital-системы","Убираем рутину из бизнеса. Проектируем AI, CRM, разработку и performance-маркетинг как единую рабочую систему.",https://osnovaai.com/ru/,Меньше рутины. Больше бизнеса.,866,0,,
https://osnovaai.com/en/,200,en,"OSNOVA — AI, automation & digital systems","Less busywork. More business. AI, CRM, development and performance built as one working system.",https://osnovaai.com/en/,Less busywork. More business.,950,0,,
https://osnovaai.com/de/,200,de,"OSNOVA — AI, Automatisierung & digitale Systeme","Weniger Routine. Mehr Business. AI, CRM, Entwicklung und Performance als ein funktionierendes System.",https://osnovaai.com/de/,Weniger Routine. Mehr Business.,876,0,,
https://osnovaai.com/uk/,200,uk,"OSNOVA — AI, автоматизація та digital-системи","Менше рутини. Більше бізнесу. AI, CRM, розробка та performance як єдина робоча система.",https://osnovaai.com/uk/,Менше рутини. Більше бізнесу.,858,0,,
https://osnovaai.com/ru/services,200,ru,"Услуги OSNOVA — автоматизация, разработка, реклама, SEO и AI-продвижение","Шесть направлений для процессов, цифровых продуктов и роста бизнеса.",https://osnovaai.com/ru/services,6 направлений. Одна система.,212,0,,
https://osnovaai.com/en/services,200,en,"OSNOVA services — automation, development, advertising, SEO and AI Visibility","Six capabilities for operations, digital products and business growth.",https://osnovaai.com/en/services,6 capabilities. One system.,220,0,,
https://osnovaai.com/de/services,200,de,"OSNOVA Leistungen — Automatisierung, Entwicklung, Werbung, SEO und AI Visibility","Sechs Bereiche für Prozesse, digitale Produkte und Unternehmenswachstum.",https://osnovaai.com/de/services,6 Bereiche. Ein System.,206,0,,
https://osnovaai.com/uk/services,200,uk,"Послуги OSNOVA — автоматизація, розробка, реклама, SEO та AI-просування","Шість напрямів для процесів, цифрових продуктів і зростання бізнесу.",https://osnovaai.com/uk/services,6 напрямів. Одна система.,212,0,,
https://osnovaai.com/ru/services/automation,200,ru,Автоматизация бизнеса — OSNOVA,"AI-операторы, AI-ассистенты, CRM, интеграции и индивидуальная автоматизация процессов.",https://osnovaai.com/ru/services/automation,"Проектируем работу, а не набор AI-функций.",414,0,0,
https://osnovaai.com/en/services/automation,200,en,Business Automation — OSNOVA,"AI voice operators, AI assistants, CRM, integrations and custom process automation.",https://osnovaai.com/en/services/automation,"We design the work, not a bundle of AI features.",450,0,0,
https://osnovaai.com/de/services/automation,200,de,Geschäftsautomatisierung — OSNOVA,"AI-Telefonie, AI-Assistenten, CRM, Integrationen und individuelle Prozessautomatisierung.",https://osnovaai.com/de/services/automation,"Wir gestalten die Arbeit, nicht ein Bündel von AI-Funktionen.",430,0,0,
https://osnovaai.com/uk/services/automation,200,uk,Автоматизація бізнесу — OSNOVA,"AI-оператори, AI-асистенти, CRM, інтеграції та індивідуальна автоматизація процесів.",https://osnovaai.com/uk/services/automation,"Проєктуємо роботу, а не набір AI-функцій.",414,0,0,
https://osnovaai.com/ru/services/development,200,ru,Разработка digital-продуктов — OSNOVA,"Landing pages, корпоративные сайты, web-приложения, internal tools, MVP и custom software.",https://osnovaai.com/ru/services/development,Софт с конкретной причиной существовать.,249,0,0,
https://osnovaai.com/en/services/development,200,en,Digital Product Development — OSNOVA,"Landing pages, corporate websites, web applications, internal tools, MVPs and custom software.",https://osnovaai.com/en/services/development,Software with a clear reason to exist.,277,0,0,
https://osnovaai.com/de/services/development,200,de,Digitale Produktentwicklung — OSNOVA,"Landingpages, Unternehmenswebsites, Web-Applikationen, interne Tools, MVPs und individuelle Software.",https://osnovaai.com/de/services/development,Software mit einem klaren Grund zu existieren.,241,0,0,
https://osnovaai.com/uk/services/development,200,uk,Розробка digital-продуктів — OSNOVA,"Landing pages, корпоративні сайти, web-застосунки, внутрішні інструменти, MVP та custom software.",https://osnovaai.com/uk/services/development,Софт із конкретною причиною існування.,248,0,0,
https://osnovaai.com/ru/services/performance,200,ru,Реклама и продвижение — OSNOVA,"Google Ads, Meta Ads, TikTok Ads, аналитика и корректный tracking как единая performance-система.",https://osnovaai.com/ru/services/performance,Спрос становится управляемой системой.,207,0,0,
https://osnovaai.com/en/services/performance,200,en,Performance Marketing — OSNOVA,"Google Ads, Meta Ads, TikTok Ads, analytics and accurate tracking as one performance system.",https://osnovaai.com/en/services/performance,Demand becomes a manageable system.,222,0,0,
https://osnovaai.com/de/services/performance,200,de,Online-Marketing — OSNOVA,"Google Ads, Meta Ads, TikTok Ads, Analytics und präzises Tracking als ein Performance-System.",https://osnovaai.com/de/services/performance,Nachfrage wird zu einem steuerbaren System.,222,0,0,
https://osnovaai.com/uk/services/performance,200,uk,Реклама та просування — OSNOVA,"Google Ads, Meta Ads, TikTok Ads, аналітика й коректний tracking як єдина performance-система.",https://osnovaai.com/uk/services/performance,Попит стає керованою системою.,205,0,0,
https://osnovaai.com/ru/services/seo,200,ru,SEO-продвижение — OSNOVA,"Помогаем бизнесу появляться в поиске перед людьми, которые уже ищут его услуги или товары.",https://osnovaai.com/ru/services/seo,"Появляться в поиске, когда вас уже ищут.",389,0,0,
https://osnovaai.com/en/services/seo,200,en,SEO services — OSNOVA,Help your business appear in search when people are already looking for your products or services.,https://osnovaai.com/en/services/seo,Show up in search when people need you.,427,0,0,
https://osnovaai.com/de/services/seo,200,de,SEO — OSNOVA,"Damit Ihr Unternehmen gefunden wird, wenn Menschen bereits nach Ihrem Angebot suchen.",https://osnovaai.com/de/services/seo,"In der Suche erscheinen, wenn man Sie braucht.",405,0,0,
https://osnovaai.com/uk/services/seo,200,uk,SEO-просування — OSNOVA,"Допомагаємо бізнесу з’являтися в пошуку перед людьми, які вже шукають його послуги чи товари.",https://osnovaai.com/uk/services/seo,"З’являтися в пошуку, коли вас уже шукають.",387,0,0,
https://osnovaai.com/ru/services/ai-visibility,200,ru,Продвижение в AI-поиске — OSNOVA,"Делаем компанию, услуги и экспертизу понятными для поиска и ответов через AI.",https://osnovaai.com/ru/services/ai-visibility,"Быть понятным, когда AI отвечает.",415,0,0,
https://osnovaai.com/en/services/ai-visibility,200,en,AI search visibility — OSNOVA,"Make your company, services and expertise clearer for AI-assisted search and answers.",https://osnovaai.com/en/services/ai-visibility,Be understood when AI answers.,444,0,0,
https://osnovaai.com/de/services/ai-visibility,200,de,AI Visibility — OSNOVA,"Damit Unternehmen, Leistungen und Expertise in der AI-gestützten Suche verständlich dargestellt sind.",https://osnovaai.com/de/services/ai-visibility,"Verstanden werden, wenn AI antwortet.",421,0,0,
https://osnovaai.com/uk/services/ai-visibility,200,uk,Просування в AI-пошуку — OSNOVA,"Робимо компанію, послуги та експертизу зрозумілими для пошуку й відповідей через AI.",https://osnovaai.com/uk/services/ai-visibility,"Бути зрозумілим, коли AI відповідає.",415,0,0,
https://osnovaai.com/ru/services/email-deliverability,200,ru,Email Deliverability — доставка писем во входящие | OSNOVA,"Помогаем письмам компании доходить до клиентов. Находим причины попадания в спам, исправляем настройки и проверяем результат.",https://osnovaai.com/ru/services/email-deliverability,Ваши письма. Ближе к клиенту.,462,0,0,
https://osnovaai.com/en/services/email-deliverability,200,en,Email Deliverability — OSNOVA,"Help your company emails reach customers. We find out why messages land in spam, fix settings and check the results.",https://osnovaai.com/en/services/email-deliverability,Your emails. Closer to customers.,529,0,0,
https://osnovaai.com/de/services/email-deliverability,200,de,Email Deliverability — OSNOVA,"Damit Ihre E-Mails Kunden erreichen. Wir finden Ursachen für Spam-Probleme, korrigieren Einstellungen und prüfen das Ergebnis.",https://osnovaai.com/de/services/email-deliverability,Ihre E-Mails. Näher am Kunden.,489,0,0,
https://osnovaai.com/uk/services/email-deliverability,200,uk,Email Deliverability — доставка листів | OSNOVA,"Допомагаємо листам компанії доходити до клієнтів. Знаходимо причини потрапляння в спам, виправляємо налаштування й перевіряємо результат.",https://osnovaai.com/uk/services/email-deliverability,Ваші листи. Ближче до клієнта.,460,0,0,
https://osnovaai.com/ru/cases,200,ru,Сделано. Работает. — OSNOVA,"Сайты, лендинги и AI. Реальные проекты — от первого экрана до работающего решения.",https://osnovaai.com/ru/cases,Сделано. Работает.,326,0,,
https://osnovaai.com/en/cases,200,en,Built. And live. — OSNOVA,"Websites, landing pages and AI. Real projects, from the first screen to a working solution.",https://osnovaai.com/en/cases,Built. And live.,359,0,,
https://osnovaai.com/de/cases,200,de,Entwickelt. Und live. — OSNOVA,"Websites, Landingpages und KI. Reale Projekte — vom ersten Bildschirm zur fertigen Lösung.",https://osnovaai.com/de/cases,Entwickelt. Und live.,332,0,,
https://osnovaai.com/uk/cases,200,uk,Зроблено. Працює. — OSNOVA,"Сайти, лендинги та AI. Реальні проєкти — від першого екрана до робочого рішення.",https://osnovaai.com/uk/cases,Зроблено. Працює.,326,0,,
https://osnovaai.com/ru/cases/dds-service,200,ru,DDS SERVICE — OSNOVA,"Сайт автосервиса: услуги, информация для клиентов и контакты. Полностью разработан с нуля.",https://osnovaai.com/ru/cases/dds-service,DDS SERVICE,89,0,,0
https://osnovaai.com/en/cases/dds-service,200,en,DDS SERVICE — OSNOVA,"An auto service website with services, customer information and contacts. Built entirely from scratch.",https://osnovaai.com/en/cases/dds-service,DDS SERVICE,92,0,,0
